Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,COMM,203,,101,Managing the Employment Relationship,Julyna Jadulang;Perdip Atwal;Yu-Wung Cheng,126,74.142857143,7.268247971,88.0,44.0,1,1,2,5,13,17,25,36,21,5,0
UBCV,2017,W,COMM,203,,104,Managing the Employment Relationship,Julyna Jadulang;Perdip Atwal;Yu-Wung Cheng,65,76.538461538,8.12418635,90.0,60.0,0,0,0,4,9,4,7,15,13,12,1
UBCV,2018,W,COMM,202,,201,Career Fundamentals,Amanda Bamford;Carly Sangha;Conor Topley;Ena Gan;Ingrid Bakke;Jose Guevara;Kristina Declark;Sam Wong;Sheng Yuan Qi;Sidney Pankratz;Victoria Welsby;Yu-Wung Cheng,129,81.76744186,11.352664629,100.0,31.0,2,1,3,2,6,4,16,14,21,29,31
UBCV,2018,W,COMM,202,,202,Career Fundamentals,Amanda Bamford;Carly Sangha;Conor Topley;Ena Gan;Ingrid Bakke;Jose Guevara;Kristina Declark;Sam Wong;Sheng Yuan Qi;Sidney Pankratz;Victoria Welsby;Yu-Wung Cheng,121,82.561983471,9.608063074,99.0,54.0,0,1,2,4,2,6,7,19,23,28,29
UBCV,2018,W,COMM,202,,203,Career Fundamentals,Amanda Bamford;Carly Sangha;Conor Topley;Ena Gan;Ingrid Bakke;Jose Guevara;Kristina Declark;Sam Wong;Sheng Yuan Qi;Sidney Pankratz;Victoria Welsby;Yu-Wung Cheng,123,82.024390244,12.492924827,99.0,38.0,4,2,1,2,4,8,11,10,18,24,39
UBCV,2018,W,COMM,202,,204,Career Fundamentals,Amanda Bamford;Carly Sangha;Conor Topley;Ena Gan;Ingrid Bakke;Jose Guevara;Kristina Declark;Sam Wong;Sheng Yuan Qi;Sidney Pankratz;Victoria Welsby;Yu-Wung Cheng,99,77.676767677,15.474685241,100.0,0.0,3,2,2,6,8,5,11,11,13,18,20
UBCV,2018,W,COMM,203,,104,Managing the Employment Relationship,Alexander Payandeh;Perdip Atwal;Talissa Eng;Yu-Wung Cheng,60,73.816666667,8.168753337,86.0,51.0,0,2,2,5,2,11,6,16,14,2,0
UBCV,2018,W,COMM,203,,105,Managing the Employment Relationship,Alexander Payandeh;Perdip Atwal;Talissa Eng;Yu-Wung Cheng,59,74.13559322,7.008511149,87.0,49.0,2,0,0,0,5,12,14,16,8,2,0
UBCV,2020,S,BAHR,580,D,001,Topics in Human Resources,Bradley Scheftner;Lingtao Yu;Michael Daniels;Rebecca Mee Kyung Paluch;Samyta Rai;Sandra Robinson;Tracey Gurton;Vatsala Gupta;Vatsala Yash Gupta;Wayne Rawcliffe;Yash Gupta;Yu-Wung Cheng,53,82.547169811,3.249651092,89.0,77.0,0,0,0,0,0,0,0,12,27,14,0
UBCV,2020,S,COMM,203,,921,Managing the Employment Relationship,Logan Benninger;Perdip Atwal;Suhaana Sidhu;Vivian Hui Xin Guo;Yu-Wung Cheng,122,76.319672131,7.842737751,91.0,51.0,0,1,2,6,7,17,18,21,32,16,2
UBCV,2020,W,COHR,486,A,101,Special Topics in Organizational Behaviour and Human Resources,Alessandro Davidoni;Elizabeth Phillips;Rebecca Mee Kyung Paluch;Yu-Wung Cheng,30,78.1,4.618926581,87.0,70.0,0,0,0,0,0,1,6,8,11,4,0
