Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",28,76.68,7.88,92,60,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,6,6,3,1
UBC,2009,W,FOOD,520,C,001,ADV FOOD ANALYSIS,"Zawistowski, Jerzy",14,82.57,4.85,93,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,1
UBC,2009,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",22,79.95,7.49,92,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,4,2
UBC,2010,W,FOOD,520,C,001,ADV FOOD ANALYSIS,"Zawistowski, Jerzy",18,82.38,7.6,95,69,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,3
UBC,2010,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",21,78.71,6.77,95,70,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,8,1,2
UBC,2011,W,FOOD,510,,001,ADVANCES FD SCI,"Madadi Noei, Azita;Zawistowski, Jerzy",19,83.11,5.67,91,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,2,5
UBC,2011,W,FOOD,520,C,001,ADV FOOD ANALYSIS,"Zawistowski, Jerzy",14,80.36,8.55,96,61,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,2,2
UBC,2011,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",21,84.38,6.28,94,74,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,6
UBC,2012,W,FOOD,520,C,001,ADV FOOD ANALYSIS,"Zawistowski, Jerzy",11,85,5.1,95,78,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3
UBC,2012,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",22,80,8.66,95,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,7,4,3
UBC,2013,W,FOOD,524,,001,ADV FOOD PROCESS,"Zawistowski, Jerzy",12,81.55,7.03,91,69,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,1
UBC,2013,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",22,80.14,6.74,91,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,6,1
UBC,2014,W,FOOD,524,,001,ADV FOOD PROCESS,"Zawistowski, Jerzy",14,82.92,8.02,94,69,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3
UBC,2014,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",25,77.76,8.42,91,60,25,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,4,5,5,2
UBC,2015,W,FOOD,524,,001,ADV FOOD PROCESS,"Madadi Noei, Azita;Zawistowski, Jerzy",15,80,5.42,93,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,1,1
UBC,2015,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",28,79.57,7,93,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,7,6,2
UBC,2016,W,FOOD,524,,001,ADV FOOD PROCESS,"Zawistowski, Jerzy",14,82.43,7.73,92,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,6,2
UBC,2016,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",31,82.65,6.41,92,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,10,4
UBC,2017,W,FOOD,510,,001,ADVANCES FD SCI,"Madadi Noei, Azita;Zawistowski, Jerzy",11,84.09,6.66,95,71,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,2
UBC,2017,W,FOOD,524,,001,ADV FOOD PROCESS,"Zawistowski, Jerzy",16,84.25,7.23,94,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,3,5
UBC,2017,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",31,82.94,6.58,95,68,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,10,4
UBC,2018,W,FOOD,510,,001,ADVANCES FD SCI,"Madadi Noei, Azita;Zawistowski, Jerzy",14,84.14,4.45,92,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1
UBC,2018,W,FOOD,528,,001,INTL FD LAW&REGS,"Zawistowski, Jerzy",35,83.43,6.04,93,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,13,6,9
