Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2019,W,APSC,173,,201,Engineering Analysis II,Alok Chandra;Amirhossein Zaji;Dean Richert;Manjot Kaur;Mehran Shirazi;Sandun Tharaka Wanniarachchi;Sin Hang Cheung;Vipul Moudgil,147,81.115646259,14.049090551,100.0,38.0,3,3,3,11,9,9,12,8,22,23,44,,,
UBCO,2019,W,APSC,173,,202,Engineering Analysis II,Alok Chandra;Amirhossein Zaji;Dean Richert;Kevin Golovin;Manjot Kaur;Mehran Shirazi;Sandun Tharaka Wanniarachchi;Sin Hang Cheung;Vipul Moudgil,135,73.903703704,13.316398864,100.0,38.0,2,11,3,14,12,21,12,17,12,9,22,,,
UBCO,2019,W,APSC,177,,101,Engineering Computation and Instrumentation,Abdul Basit Zia;Mahmoud Hasabel Naby;Mehran Shirazi;Nourhan Soliman;Sin Hang Cheung;Sorayya Kazemi Nojadeh;Yanqi Yu,28,76.75,14.858904301,100.0,40.0,1,0,2,0,6,1,3,5,1,1,8,,,
UBCO,2019,W,APSC,255,,102,Electric Circuits and Power,Adel Tabkhpour Langeroudi;Ayman Elnaggar;Ian Foulds;Katherine Luckasavitch;Kathrin Schmidt;Mandeep Chhajer Jain;Mehran Shirazi;Rafaeal Hossain Rakin;Yuri Reis Rodrigues;Yuri Rodrigues,125,77.392,10.829243562,100.0,50.0,0,1,5,7,14,12,14,17,18,19,18,,,
UBCO,2019,W,APSC,256,,102,Numerical Methods for Analysis,Alireza Eyvazizadeh Khosroshahi;Jintao Han;Liwei Wang;Mehran Shirazi;Sadhak Gautam;Yuanshi Zhang;Yuri Reis Rodrigues;Yuri Rodrigues,146,75.767123288,12.62894382,98.0,10.0,4,2,5,11,11,10,24,12,33,19,15,,,
UBCO,2019,W,ENGR,486,,201,Robot Modelling and Control,Aria Salari;Mehran Shirazi,43,77.627906977,14.574967542,100.0,15.0,1,1,0,2,3,5,4,4,10,4,9,,,
UBCO,2019,W,ENGR,487,,201,Digital Control,Aria Salari;Mehran Shirazi,37,80.351351351,11.373009511,97.0,55.0,0,0,2,2,2,0,6,4,5,7,9,,,
UBCO,2019,W,ENGR,494,,201,Autonomous Vehicle Technology,Kyle Low;Mehran Shirazi,29,85.931034483,8.89595026,96.0,63.0,0,0,0,1,1,1,2,1,2,6,15,,,
UBCO,2019,W,ENGR,535,,201,Autonomous Vehicle Technology,Mehran Shirazi,8,92.0,4.810702354,97.0,82.0,0,0,0,0,0,0,0,0,1,1,6,,,
UBCO,2019,W,ENGR,587,,201,Digital Control,Mehran Shirazi,6,91.166666667,4.215052392,95.0,85.0,0,0,0,0,0,0,0,0,0,2,4,,,
UBCO,2020,S,APSC,179,,001,Linear Algebra for Engineers,Abdul Basit Zia;Mehran Shirazi,51,67.68627451,17.355679412,94.0,0.0,5,2,3,5,7,6,5,3,8,5,2,,,
UBCO,2020,W,APSC,179,,101,Linear Algebra for Engineers,Abdul Basit Zia;Evan Hansen;Hoda Dadashzadeh;Kamran Alasvand Zarasvand;Maryam Golestani Najafabadi;Mehran Shirazi;Morad Abdelaziz;Sarin Raj Pokhrel;Shiva Khoei;Zhila Bahrami,203,75.433497537,13.273559704,100.0,23.0,5,7,11,12,12,16,31,26,25,28,30,,,
UBCO,2020,W,APSC,179,,102,Linear Algebra for Engineers,Abdul Basit Zia;Evan Hansen;Hoda Dadashzadeh;Ian Foulds;Kamran Alasvand Zarasvand;Maryam Golestani Najafabadi;Mehran Shirazi;Sarin Raj Pokhrel;Shiva Khoei;Zhila Bahrami,220,73.018181818,16.171445503,100.0,0.0,13,8,9,13,14,29,23,22,34,31,24,,,
UBCO,2020,W,ENGR,486,,201,Robot Modelling and Control,Aria Salari;Mehran Shirazi;Nasim Hajati,56,77.714285714,14.759544568,99.0,21.0,2,1,2,1,4,3,8,4,10,10,11,,,
UBCO,2020,W,ENGR,487,,201,Digital Control,Aria Salari;Mehran Shirazi,45,79.266666667,12.983205936,100.0,27.0,1,0,3,0,2,1,5,7,7,8,11,,,
UBCO,2020,W,ENGR,494,,201,Autonomous Vehicle Technology,Logan Tarasoff;Mehran Shirazi,47,91.234042553,5.824284864,98.0,71.0,0,0,0,0,0,1,1,1,2,6,36,,,
UBCO,2020,W,ENGR,535,,201,Autonomous Vehicle Technology,Mehran Shirazi,11,94.454545455,4.251203038,100.0,87.0,0,0,0,0,0,0,0,0,0,2,9,,,
UBCO,2020,W,ENGR,586,,201,Robot Modelling and Control,Mehran Shirazi,8,94.75,5.750776345,100.0,82.0,0,0,0,0,0,0,0,0,1,0,7,,,
UBCO,2021,S,APSC,179,,001,Linear Algebra for Engineers,Abdul Basit Zia;Maryam Golestani Najafabadi;Mehran Shirazi,12,65.583333333,14.612935324,85.0,38.0,2,0,0,4,1,1,1,0,1,2,0,,,
UBCO,2021,W,APSC,179,,101,Linear Algebra for Engineers,Evan Hansen;Kamran Alasvand Zarasvand;Majid Moradzadeh;Mehran Shirazi;Shiva Khoei;Vahid Asgharian,196,71.918367347,19.192772929,100.0,3.0,21,13,9,14,12,19,15,13,21,17,42,,,
UBCO,2021,W,APSC,179,,102,Linear Algebra for Engineers,Evan Hansen;Kamran Alasvand Zarasvand;Majid Moradzadeh;Mehran Shirazi;Morad Abdelaziz;Shiva Khoei,189,74.243386243,20.317794872,100.0,0.0,23,9,8,7,10,10,13,19,17,23,50,,,
UBCO,2021,W,ENGR,480,,101,Modern Control,Amir Mehdi Soufi Enayati;Arunava Majumdar;Hanieh Tabatabaei;Mehran Shirazi,90,76.7,13.989924143,100.0,21.0,3,2,3,8,4,6,4,7,26,13,14,,,
UBCO,2021,W,ENGR,486,,201,Robot Modelling and Control,Mehran Shirazi;Nasim Hajati,62,83.14516129,12.845675134,98.0,20.0,1,0,1,1,2,2,9,3,10,10,23,,,
UBCO,2021,W,ENGR,487,,201,Digital Control,Mehran Shirazi;Negar Yassaie,39,75.230769231,12.086228654,98.0,53.0,0,2,3,2,4,4,4,3,4,9,4,,,
UBCO,2021,W,ENGR,494,,201,Autonomous Vehicle Technology,Devin Reinholz;Mehran Shirazi,46,83.934782609,7.886422013,95.0,67.0,0,0,0,0,2,2,3,4,12,11,12,,,
UBCO,2021,W,ENGR,535,,201,Autonomous Vehicle Technology,Mehran Shirazi,24,91.041666667,4.768366475,100.0,80.0,0,0,0,0,0,0,0,0,1,8,15,,,
UBCO,2021,W,ENGR,580,,101,Modern Control,Amir Mehdi Soufi Enayati;Arunava Majumdar;Hanieh Tabatabaei;Homayoun Najjaran;Mehran Shirazi,13,90.230769231,8.496605657,100.0,71.0,0,0,0,0,0,1,0,0,3,0,9,,,
UBCO,2021,W,ENGR,586,,201,Robot Modelling and Control,Mehran Shirazi;Nasim Hajati,30,87.533333333,8.508548777,98.0,61.0,0,0,0,1,0,0,2,1,4,7,15,,,
UBCO,2021,W,ENGR,587,,001,Digital Control,Mehran Shirazi;Negar Yassaie,24,84.375,9.26804937,100.0,62.0,0,0,0,1,0,1,2,2,6,4,8,,,
UBCV,2019,S,APSC,179,,VE1,Linear Algebra for Engineers,Mehran Shirazi,67,81.313432836,12.240282423,100.0,36.0,2,0,1,1,5,3,4,10,12,11,18,,,
UBCV,2020,S,APSC,179,,VE1,Linear Algebra for Engineers,Abdul Basit Zia;Mehran Shirazi,64,81.0,13.56583009,100.0,0.0,1,0,0,0,4,2,10,7,15,8,17,,,
UBCV,2021,S,APSC,179,,VE1,Linear Algebra for Engineers,Abdul Basit Zia;Mehran Shirazi,43,78.488372093,15.423192328,96.0,0.0,1,0,2,1,2,1,3,4,15,6,8,,,
UBCO,2021,W,ENGR,480,,101,Modern Control,Mehran Shirazi,90,76.7,,100.0,21.0,,,,8,,6,,7,26,13,14,80.5,85.0,70.0
UBCO,2021,W,ENGR,486,,201,Robot Modelling and Control,Mehran Shirazi,62,83.1,,98.0,20.0,,,,,,,9,,10,10,23,85.0,93.0,75.3
UBCO,2021,W,ENGR,487,,201,Digital Control,Mehran Shirazi,39,75.2,,98.0,53.0,,,,,,,,,,9,,76.0,85.5,65.5
UBCO,2021,W,ENGR,494,,201,Autonomous Vehicle Technology,Mehran Shirazi,46,83.9,,95.0,67.0,,,,,,,,,12,11,12,84.5,90.5,80.0
UBCO,2021,W,ENGR,535,,201,Autonomous Vehicle Technology,Mehran Shirazi,24,91.0,,100.0,80.0,,,,,,,,,,8,15,91.5,94.0,87.8
UBCO,2021,W,ENGR,580,,101,Modern Control,Mehran Shirazi,13,90.2,,100.0,71.0,,,,,,,,,,,9,93.0,97.0,84.0
UBCO,2021,W,ENGR,586,,201,Robot Modelling and Control,Mehran Shirazi,30,87.5,,98.0,61.0,,,,,,,,,,7,15,89.0,94.5,83.5
UBCO,2021,W,ENGR,587,,001,Digital Control,Mehran Shirazi,24,84.4,,100.0,62.0,,,,,,,,,6,,8,84.5,90.0,79.8
UBCO,2022,W,APSC,179,,102,Linear Algebra for Engineers,Mehran Shirazi,149,69.0,,100.0,0.0,19,11,8,13,9,9,10,10,22,11,27,73.0,85.0,59.0
UBCO,2022,W,ENGR,480,,101,Modern Control,Mehran Shirazi,105,78.4,,100.0,31.0,2,1,4,10,3,7,11,13,12,19,23,80.0,88.0,71.0
UBCO,2022,W,ENGR,486,,201,Robot Modelling and Control,Mehran Shirazi,66,78.5,,97.0,50.0,0,4,4,1,2,8,2,8,10,11,16,81.0,88.0,70.3
UBCO,2022,W,ENGR,487,,001,Digital Control,Mehran Shirazi,26,78.2,,96.0,52.0,0,1,1,1,2,0,6,3,4,2,6,77.5,87.0,72.0
UBCO,2022,W,ENGR,494,,201,Autonomous Vehicle Technology,Mehran Shirazi,60,81.2,,100.0,55.0,0,0,2,1,0,7,3,7,14,18,8,83.0,87.0,76.8
UBCO,2022,W,ENGR,535,,201,Autonomous Vehicle Technology,Mehran Shirazi,47,86.2,,100.0,65.0,0,0,0,0,1,1,2,1,11,14,17,85.0,90.5,82.0
